content,video_title,video_publish_time,views,watch_time_hours,subscribers,year,month,day_name,views_per_subscribers,engagement
DRoGi8BU0k8,This family makes me want to 🗡 people. #shorts #catofegypt,2021-10-01,241,0.4041,0,2021,10,Friday,0.0,0.0016767634854771786
HPdOFUPjVzk,Cat of Egypt meowing captured on camera🐱🥰 | #shorts #cats #meow,2022-10-03,221,0.6528,2,2022,10,Monday,110.5,0.002953846153846154
YxvyfgOsgag,Cat of Egypt: Cat V/S Brush Part #2 | #catofegypt,2022-08-27,220,1.1435,0,2022,8,Saturday,0.0,0.005197727272727272
55FdDt4gDVE,CAT OF EGYPT MEOWS IN EGYPTIAN? | #catofegypt #shorts #cats #god,2022-09-12,212,0.6598,1,2022,9,Monday,212.0,0.0031122641509433967
y37GReFVzkM,He has a great talent for..🤦‍♀️💥 | #catofegypt #shorts #cats,2022-10-20,201,0.5756,0,2022,10,Thursday,0.0,0.002863681592039801
Ulbw621AM2I,"Cat of Egypt: I'm not lazy, I just don't feel like doing anything| #shorts #oscarthecat #catofegypt",2021-10-17,185,0.6733,2,2021,10,Sunday,92.5,0.0036394594594594595
MKkATlHj_YA,Cat of Egypt: Gangster kitty😼| #shorts #catofegypt #gangsterkitty #kitty,2021-12-10,174,0.6106,0,2021,12,Friday,0.0,0.0035091954022988506
 -cYO-XAL4G4,CAT OF EGYPT CAUGHT DOING IT AGAIN!!!,2022-10-13,173,1.2118,1,2022,10,Thursday,173.0,0.007004624277456647
RxdzgV8Fths,he's spinning like a ballerina| #catofegypt #shorts #cats,2022-10-13,162,0.3904,0,2022,10,Thursday,0.0,0.002409876543209877
lQ394CTkW_Q,Cat of Egypt: Just flipped the Switch |#catofegypt #shorts #cats #fliptheswitch #drake,2022-08-30,156,0.415,0,2022,8,Tuesday,0.0,0.00266025641025641
PzmPJgy7hRA,This is Cat of Egypt's Daily Affirmation🧘‍♀️🐱💥 | #catofegypt #shorts #cats,2022-10-08,156,0.6693,2,2022,10,Saturday,78.0,0.004290384615384615
urvVndzwdLc,Ankhon ki Gustakhiyan Maaf Ho | #catofegypt #shorts #cats #ankhiyan,2022-09-14,153,0.4124,0,2022,9,Wednesday,0.0,0.002695424836601307
20WkSy05FXk,pov: when you return home after a long day😂|#catofegypt #shorts #cats,2022-10-12,150,0.3076,2,2022,10,Wednesday,75.0,0.0020506666666666663
YPBw13vddoY,POV: You're being watched by Demon Caet | #catofegypt #shorts #cats,2022-09-06,138,0.2825,0,2022,9,Tuesday,0.0,0.002047101449275362
pSBwmxS6KhQ,Cat of Egypt: I'm lazy & I know it | #catofegypt #shorts #lazy #cats,2022-08-19,138,0.4492,0,2022,8,Friday,0.0,0.003255072463768116
iiaD7Jfpw7Q,Cat of Egypt: Oscar does Dancy dance || #catofegypt #cats #shorts #kitty #stereolove #reels,2022-08-03,120,0.2891,1,2022,8,Wednesday,120.0,0.0024091666666666667
LqEfovqt87M,Cat of Egypt: Day in the life of Oscar Part 01| #catofegypt #dayinmylife #shorts #cats #vlog #kitty,2022-07-23,118,0.8189,1,2022,7,Saturday,118.0,0.006939830508474576
Fo6Yk2-NnZ4,Cat of egypt: Cat V/S Bed Part #1 | #catofegypt,2021-12-29,115,0.8434,1,2021,12,Wednesday,115.0,0.007333913043478261
y6xj7NgaVN4,The Cat of Egypt steals the show again with his cuteness😍 | #shorts #catofegypt #cats,2022-11-08,94,0.2239,0,2022,11,Tuesday,0.0,0.0023819148936170213
lt2UVorgorA,Cat of Egypt: Sorry Bout That| #shorts #cats #catofegypt #sorryboutthat #yeat,2022-01-24,90,0.2375,0,2022,1,Monday,0.0,0.002638888888888889
2ejQSqWyRMo,Cat of Egypt: Silhouette Challenge | #catofegypt #shorts #cats #silhouettechallenge #dojacat,2022-08-15,90,0.3345,0,2022,8,Monday,0.0,0.0037166666666666667
EkFHhP2lb2w,This caet🐈 turned into Super Saiyan real fast😳 | #catofegypt #shorts,2022-11-03,85,0.239,1,2022,11,Thursday,85.0,0.002811764705882353
Zr-AM6abaEg,"Cat of Egypt: I'm sorry for you, I'm taken| #shorts #cats #catofegypt #catvideos",2022-01-11,74,0.4077,0,2022,1,Tuesday,0.0,0.00550945945945946
pSrLG91SEHQ,I wanna ruinner our friendship| #catofegypt #shorts #cats,2022-10-10,73,0.1579,0,2022,10,Monday,0.0,0.0021630136986301373
bOeJsJQOD1s,Cat of Egypt: travels to Beach 🏖 #shorts #beach #oscarthecat #catofegypt,2021-10-13,70,0.2722,2,2021,10,Wednesday,35.0,0.0038885714285714287
tAGu_KuiVkc,Cat of Egypt: That's why I like cats|#shorts #cats #catofegypt #thanks,2021-11-27,63,0.2036,0,2021,11,Saturday,0.0,0.0032317460317460318
