Content,Video title,Video publish time,Views,Watch time (hours),Subscribers
jx9-a2PEfi4,Cat of Egypt's life mantra for Reducing Stress🤌 |#cats #catofegypt #shorts,"Sep 25, 2022",1208,3.6425,6
cxka0OI9UcQ,Here's your Daily dose of Serotonin | #catofegypt #shorts,"Oct 29, 2022",700,3.3727,5
r1LQbo5YJmc,Cat of Egypt: Emotional Prism|#shorts #emotionalprism #cats #catofegypt #trend,"Dec 23, 2021",1288,3.3155,3
rKqmkptzXl8,Cat of Egypt can feel it coming more than Weeknd 🌚 | #catofegypt #shorts #cats #tgif,"Sep 29, 2022",1347,3.2684,7
 -hBbly6unVA,The CAT went ANGRY 😠 😡 👿 MODE | #angrycat #shorts #cats,"Nov 6, 2022",1095,3.0542,3
I8yLmTqraOU,Sometimes He go to sleep & he cry🐱 | #catofegypt #shorts,"Oct 22, 2022",1239,2.9546,4
pUkKL45DamQ,Send This to someone you Love❤💖🐱| #shorts #catofegypt #cats,"Nov 6, 2022",941,2.9541,4
FvO-kjaq4vA,Cat of Egypt: It's time for A Loaf Check | #catofegypt #shorts #cats,"Aug 25, 2022",953,2.9109,0
u2wDRkO8Ars,They call me Cat of Egypt AKA Thug Life Coach | #catofegypt #shorts #cats,"Sep 22, 2022",1078,2.8666,1
dDt4IEL-k2s,Doctor said: No more monkeys...| #catofegypt #shorts #cats,"Oct 17, 2022",406,2.7703,1
t0o6_0XSIGs,Cat of egypt: Hits you with that blink | #catofegypt #shorts #cats,"Oct 19, 2022",1229,2.7457,0
VKhDyFxMYpc,Cat of Egypt: His paws adorable his Face adorable|#shorts #cats #catofegypt #oscarthecat,"Oct 28, 2021",815,2.7439,5
LHWqYe7DxfA,Cat of Egypt: That's not my Name| #shorts #catofegypt #cats #kitty  #thatsnotmyname,"Feb 7, 2022",879,2.7264,1
mJsYjNIBEms,Cat of Egypt: Cat in Squid Game with Shinigami eyes| #shorts #squidgame #catofegypt #shinigami #cats,"Oct 23, 2021",899,2.7013,1
kQB2vEsbQRI,Cat of Egypt: A montage ♥️🤌 | #catofegypt #shorts,"Oct 9, 2022",1049,2.6249,6
eWD7aWIdBEw,Cat of Egypt: Send this to your Fren Now ! #catofegypt  #shorts #cats,"Sep 13, 2022",842,2.57,1
xoeboeTExPU,A catto sleeping in its cozy position like a baby❣| #catofegypt #shorts #cats,"Oct 21, 2022",1054,2.5361,3
ZBC9AjReAhc,Cat of Egypt: He's 99% Correct about this one | #catofegypt #shorts #cats,"Sep 26, 2022",794,2.5164,1
MxdzdlR_fNM,Cat of Egypt: You can have my Sunshine| #catofegypt #shorts #cats #sunshine,"Aug 31, 2022",1237,2.4873,1
bVqPAPheNrQ,Cat of Egypt is Photobooth Trendsetter y'all 😎💥 | #catofegypt #shorts #cats,"Sep 24, 2022",828,2.481,3
v_YhASeYB5Q,"Cat of Egypt: Hooman, open the door! | #catofegypt #shorts #cats #kitty","Aug 22, 2022",853,2.431,6
3fDFoV6Jpvk,Cat of Egypt: Cat does ASMR || #catofegypt #shorts #cats #asmr #asmrsounds #catasmr #mukbang,"Aug 1, 2022",664,2.2467,1
